team_name,season,team_wins,team_losses
vanderbilt,2023,2,10
appalachian_state,2023,9,5
arkansas_state,2023,6,7
coastal_carolina,2023,8,5
georgia_southern,2023,6,7
georgia_state,2023,7,6
james_madison,2023,11,2
louisiana-lafayette,2023,6,7
louisiana-monroe,2023,2,10
marshall,2023,6,7
old_dominion,2023,6,7
south_alabama,2023,7,6
southern_mississippi,2023,3,9
texas_state,2023,8,5
troy,2023,11,3
army,2024,5,0
charlotte,2024,3,3
east_carolina,2024,3,3
florida_atlantic,2024,2,3
memphis,2024,4,1
navy,2024,5,0
north_texas,2024,4,1
rice,2024,1,4
south_florida,2024,2,3
temple,2024,1,5
tulane,2024,4,2
tulsa,2024,2,4
uab,2024,1,4
utsa,2024,2,3
boston_college,2024,4,2
california,2024,3,2
clemson,2024,4,1
duke,2024,5,1
florida_state,2024,1,5
georgia_tech,2024,4,2
louisville,2024,3,2
miami_florida,2024,6,0
north_carolina,2024,3,3
north_carolina_state,2024,3,3
pittsburgh,2024,5,0
smu,2024,5,1
stanford,2024,2,3
syracuse,2024,4,1
virginia,2024,4,1
virginia_tech,2024,3,3
wake_forest,2024,2,3
arizona,2024,3,2
arizona_state,2024,4,1
baylor,2024,2,4
byu,2024,5,0
cincinnati,2024,3,2
colorado,2024,4,1
houston,2024,2,4
iowa_state,2024,5,0
kansas,2024,1,5
kansas_state,2024,4,1
oklahoma_state,2024,3,3
tcu,2024,3,3
texas_tech,2024,5,1
ucf,2024,3,2
utah,2024,4,1
west_virginia,2024,3,2
illinois,2024,4,1
indiana,2024,6,0
iowa,2024,3,2
maryland,2024,3,2
michigan,2024,4,2
michigan_state,2024,3,3
minnesota,2024,3,3
nebraska,2024,5,1
northwestern,2024,2,3
ohio_state,2024,5,0
oregon,2024,5,0
penn_state,2024,5,0
purdue,2024,1,4
rutgers,2024,4,1
usc,2024,3,2
ucla,2024,1,4
washington,2024,4,2
wisconsin,2024,3,2
florida_international,2024,2,4
jacksonville_state,2024,3,3
kennesaw_state,2024,0,5
liberty,2024,5,0
louisiana_tech,2024,2,3
middle_tennessee,2024,1,5
new_mexico_state,2024,1,5
sam_houston_state,2024,5,1
utep,2024,0,6
western_kentucky,2024,4,2
connecticut,2024,4,2
massachusetts,2024,1,5
notre_dame,2024,4,1
akron,2024,1,5
ball_state,2024,1,4
bowling_green,2024,2,3
buffalo,2024,3,2
central_michigan,2024,3,2
eastern_michigan,2024,4,1
kent_state,2024,0,5
miami_ohio,2024,1,4
northern_illinois,2024,3,2
ohio,2024,3,2
toledo,2024,4,1
western_michigan,2024,2,3
air_force,2024,1,4
boise_state,2024,4,1
colorado_state,2024,2,3
